panel,scenario_id,family_id,canonical_work_order_id,diagnostic_trade_date,symbol,description,depth_confirmation,capacity_events_per_date,precommitted_horizon_ticks,source_horizon_seconds,impulse_bps,decision_l2_l5_qty_imbalance,decision_top5_qty_imbalance,replenishment_ratio,side,side_sign,entry_price,exit_price,quantity,gross_pnl_inr,cost200_inr,net_pnl_inr
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C5,official_catalyst_continuation,P373_2026-07-16_NESTLEIND_106698830,2026-07-16,NESTLEIND,Action(s) taken or orders passed,exhaustion,5,600,900.0,26.26694217770462,-0.435064935064935,-0.4450867052023121,-0.290983606557377,long,1,1431.5,1433.3,69,124.19999999999686,165.1145878144,-40.91458781440315
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C5,official_catalyst_continuation,P373_2026-07-17_TECHM_106701371,2026-07-17,TECHM,Copy of Newspaper Publication,exhaustion,5,600,900.0,4.7611490239644505,-0.7048192771084337,-0.6945071482317532,-0.8401299169974739,long,1,1576.3,1575.6,63,-44.100000000002865,165.2138103964,-209.31381039640286
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C5,official_catalyst_continuation,P373_2026-07-20_RELIANCE_106701986,2026-07-20,RELIANCE,Outcome of Board Meeting,exhaustion,5,600,900.0,152.07687069683263,-0.4121469632591852,-0.3659705580280726,4.784158415841584,long,1,1341.9,1339.0,74,-214.60000000000673,165.1997343192,-379.7997343192067
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C5,official_catalyst_continuation,P373_2026-07-20_RELIANCE_106702014,2026-07-20,RELIANCE,Press Release,exhaustion,5,600,900.0,152.07687069683263,-0.4121469632591852,-0.3659705580280726,4.784158415841584,long,1,1341.9,1339.0,74,-214.60000000000673,165.1997343192,-379.7997343192067
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C5,official_catalyst_continuation,P373_2026-07-20_RELIANCE_106702019,2026-07-20,RELIANCE,Investor Presentation,exhaustion,5,600,900.0,152.07687069683263,-0.4121469632591852,-0.3659705580280726,4.784158415841584,long,1,1341.9,1339.0,74,-214.60000000000673,165.1997343192,-379.7997343192067
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C5,official_catalyst_continuation,P373_2026-07-20_BHARTIARTL_106701559,2026-07-20,BHARTIARTL,Action(s) taken or orders passed,exhaustion,5,600,900.0,127.65957446808488,-0.3266078184110971,-0.5748251748251748,0.6666666666666666,long,1,1928.0,1934.1,51,311.09999999999536,165.03518268519997,146.0648173147954
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C5,official_catalyst_continuation,P373_2026-07-20_BHARTIARTL_106702038,2026-07-20,BHARTIARTL,Action(s) taken or orders passed,exhaustion,5,600,900.0,127.65957446808488,-0.3266078184110971,-0.5748251748251748,0.6666666666666666,long,1,1928.0,1934.1,51,311.09999999999536,165.03518268519997,146.0648173147954
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C5,official_catalyst_continuation,P373_2026-07-21_BAJAJ-AUTO_106703749,2026-07-21,BAJAJ-AUTO,Reply to Clarification- Financial results,exhaustion,5,600,900.0,-28.49544072948328,0.2989690721649484,0.1147540983606557,-0.6504297994269341,short,-1,10496.5,10530.0,9,-301.5,162.24351066200003,-463.74351066200006
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C5,official_catalyst_continuation,P373_2026-07-21_HCLTECH_106704006,2026-07-21,HCLTECH,Shareholders meeting,exhaustion,5,600,900.0,20.08279027829233,-0.2629969418960244,-0.187948350071736,1.6807692307692308,long,1,1222.5,1230.0,81,607.5,165.20294083,442.29705917
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C5,official_catalyst_continuation,P373_2026-07-21_HCLTECH_106704043,2026-07-21,HCLTECH,Updates,exhaustion,5,600,900.0,20.08279027829233,-0.2629969418960244,-0.187948350071736,1.6807692307692308,long,1,1222.5,1230.0,81,607.5,165.20294083,442.29705917
