candidate_id,feature,uses_full_top_five_depth,uses_depth_beyond_l1,sign_mode,horizon,threshold_quantile,threshold_abs_value,spread_cap_quantile,spread_cap_bps,churn_floor_quantile,churn_floor,symbols,trade_dates,cost100_trade_rows,cost100_net_pnl_inr,cost100_gross_pnl_inr,cost100_cost_inr,cost100_win_rate,cost100_profit_factor,cost100_avg_net_pnl_per_trade,cost100_max_drawdown_inr,cost150_trade_rows,cost150_net_pnl_inr,cost150_gross_pnl_inr,cost150_cost_inr,cost150_win_rate,cost150_profit_factor,cost150_avg_net_pnl_per_trade,cost150_max_drawdown_inr,cost200_trade_rows,cost200_net_pnl_inr,cost200_gross_pnl_inr,cost200_cost_inr,cost200_win_rate,cost200_profit_factor,cost200_avg_net_pnl_per_trade,cost200_max_drawdown_inr,random_side_net_pnl_inr,random_side_beat,survivor_candidate
P256_AVG_DEPTH_SLOPE_ASK_REVERSE_H10_TQ0p95_SPQ0p5_CQ0p5,avg_depth_slope_ask,1,1,reverse,10,0.95,1228.4406250000002,0.5,2.6725913756795983,0.5,29584.5,6,1,14,-1161.2171268539514,244.93788613884067,1406.1550129927923,0.21428571428571427,0.11422999066153725,-82.94408048956795,-1105.8759881070732,14,-1864.2946333503473,244.93788613884067,2109.2325194891882,0.07142857142857142,0.02383150740793516,-133.16390238216766,-1702.4094765890372,14,-2567.3721398467437,244.93788613884067,2812.3100259855846,0.0,0.0,-183.38372427476742,-2307.3462567966553,-1289.403433218837,1,0
P256_AVG_LEVEL_WEIGHTED_DEPTH_IMBALANCE_FOLLOW_H10_TQ0p95_SPQ0p5_CQ0p75,avg_level_weighted_depth_imbalance,1,1,follow,10,0.95,0.6029320854321769,0.5,2.6725913756795983,0.75,80028.5,4,1,13,-1251.6112396052656,81.34346223809263,1332.9547018433584,0.07692307692307693,0.04830578420632565,-96.2777876619435,-1195.8744206148604,13,-1918.0885905269447,81.34346223809263,1999.4320527650373,0.07692307692307693,0.006531495048328221,-147.54527619438036,-1809.7246545297905,13,-2584.5659414486236,81.34346223809263,2665.909403686717,0.0,0.0,-198.8127647268172,-2423.574888444721,-1674.7120286882741,1,0
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_REVERSE_H10_TQ0p95_SPQ0p75_CQ0p75,avg_depth_beyond_l1_qty_imbalance,1,1,reverse,10,0.95,0.5792902730551526,0.75,3.4284694119258963,0.75,80028.5,5,1,11,-1457.7015321759006,-305.79668529170374,1151.9048468841972,0.18181818181818182,0.04525226731491057,-132.51832110690006,-1340.8025768111897,11,-2033.6539556179996,-305.79668529170374,1727.8572703262957,0.0,0.0,-184.87763232890904,-1842.3717580650539,11,-2609.606379060098,-305.79668529170374,2303.8096937683945,0.0,0.0,-237.236943550918,-2364.3536313945856,-1417.0716514120027,0,0
P256_AVG_LEVEL_WEIGHTED_DEPTH_IMBALANCE_REVERSE_H6_TQ0p95_SPQ0p5_CQ0p75,avg_level_weighted_depth_imbalance,1,1,reverse,6,0.95,0.6029320854321769,0.5,2.6725913756795983,0.75,80028.5,4,1,16,-1056.5720618025166,579.69047220372,1636.2625340062368,0.1875,0.16894326141565794,-66.03575386265729,-922.7823682841776,16,-1874.703328805635,579.69047220372,2454.3938010093552,0.125,0.04319030515404132,-117.16895805035219,-1688.2865182805467,16,-2692.8345958087534,579.69047220372,3272.5250680124736,0.0625,0.001474947000533536,-168.3021622380471,-2453.7906682769158,-1431.3331282425493,1,0
P256_AVG_LEVEL_WEIGHTED_DEPTH_IMBALANCE_REVERSE_H10_TQ0p95_SPQ0p5_CQ0p75,avg_level_weighted_depth_imbalance,1,1,reverse,10,0.95,0.6029320854321769,0.5,2.6725913756795983,0.75,80028.5,4,1,13,-1414.2981640814508,-81.34346223809263,1332.9547018433584,0.07692307692307693,0.014227739330239464,-108.79216646780391,-1279.9392071205286,13,-2080.77551500313,-81.34346223809263,1999.4320527650373,0.0,0.0,-160.05965500024075,-1873.3767489597906,13,-2747.252865924809,-81.34346223809263,2665.909403686717,0.0,0.0,-211.32714353267764,-2487.226982874721,-1674.7120286882741,1,0
P256_AVG_DEPTH_SLOPE_ASK_FOLLOW_H10_TQ0p95_SPQ0p5_CQ0p75,avg_depth_slope_ask,1,1,follow,10,0.95,1228.4406250000002,0.5,2.6725913756795983,0.75,80028.5,6,1,13,-1490.8590680432535,-176.3831065852983,1314.4759614579555,0.07692307692307693,0.05662440736369452,-114.68146677255797,-1435.1222490528482,13,-2148.097048772231,-176.3831065852983,1971.7139421869326,0.07692307692307693,0.016528934447644028,-165.23823452094086,-2039.733112775077,13,-2805.3350295012087,-176.3831065852983,2628.951922915911,0.0,0.0,-215.79500226932376,-2644.343976497306,-1266.2791612375427,0,0
P256_AVG_DEPTH_SLOPE_ASK_FOLLOW_H10_TQ0p95_SPQ0p5_CQ0p0,avg_depth_slope_ask,1,1,follow,10,0.95,1228.4406250000002,0.5,2.6725913756795983,0.0,536.0,6,1,14,-1651.0928991316323,-244.93788613884067,1406.1550129927923,0.07142857142857142,0.05141169039872882,-117.93520708083088,-1595.356080141227,14,-2354.1704056280287,-244.93788613884067,2109.2325194891882,0.07142857142857142,0.015103920169290698,-168.15502897343063,-2245.8064696308747,14,-3057.247912124425,-244.93788613884067,2812.3100259855846,0.0,0.0,-218.37485086603036,-2896.256859120522,-1289.403433218837,0,0
P256_AVG_DEPTH_SLOPE_ASK_FOLLOW_H10_TQ0p95_SPQ0p5_CQ0p5,avg_depth_slope_ask,1,1,follow,10,0.95,1228.4406250000002,0.5,2.6725913756795983,0.5,29584.5,6,1,14,-1651.0928991316323,-244.93788613884067,1406.1550129927923,0.07142857142857142,0.05141169039872882,-117.93520708083088,-1595.356080141227,14,-2354.1704056280287,-244.93788613884067,2109.2325194891882,0.07142857142857142,0.015103920169290698,-168.15502897343063,-2245.8064696308747,14,-3057.247912124425,-244.93788613884067,2812.3100259855846,0.0,0.0,-218.37485086603036,-2896.256859120522,-1289.403433218837,0,0
P256_AVG_LEVEL_WEIGHTED_DEPTH_IMBALANCE_REVERSE_H3_TQ0p95_SPQ0p5_CQ0p75,avg_level_weighted_depth_imbalance,1,1,reverse,3,0.95,0.6029320854321769,0.5,2.6725913756795983,0.75,80028.5,5,1,17,-1410.7752364360601,331.91489004903434,1742.6901264850944,0.23529411764705882,0.06484834709292278,-82.98677861388589,-1308.7986705092069,17,-2282.1202996786074,331.91489004903434,2614.0351897276414,0.0,0.0,-134.24237056932984,-2124.2389486583606,17,-3153.465362921154,331.91489004903434,3485.380252970189,0.0,0.0,-185.49796252477375,-2942.9568948941587,-1694.12840620419,1,0
P256_AVG_DEPTH_SLOPE_ASK_REVERSE_H6_TQ0p95_SPQ0p5_CQ0p75,avg_depth_slope_ask,1,1,reverse,6,0.95,1228.4406250000002,0.5,2.6725913756795983,0.75,80028.5,7,1,19,-1285.085271604453,632.5623259975766,1917.6475976020297,0.21052631578947367,0.14015926928958272,-67.63606692655016,-1280.352953887245,19,-2243.909070405468,632.5623259975766,2876.4713964030448,0.10526315789473684,0.03963471198031571,-118.10047738976147,-2121.1163430531287,19,-3202.7328692064825,632.5623259975766,3835.2951952040594,0.05263157894736842,0.003021747335307266,-168.56488785297276,-2973.396123839712,-1884.3385711115718,1,0
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_FOLLOW_H10_TQ0p95_SPQ0p75_CQ0p5,avg_depth_beyond_l1_qty_imbalance,1,1,follow,10,0.95,0.5792902730551526,0.75,3.4284694119258963,0.5,29584.5,9,1,18,-1379.1076052593544,488.5760144725636,1867.6836197319183,0.2222222222222222,0.22109311703792733,-76.61708918107524,-1256.3013869476067,18,-2312.9494151253134,488.5760144725636,2801.5254295978775,0.16666666666666666,0.07745192837212912,-128.49718972918407,-2142.1702299332646,18,-3246.7912249912724,488.5760144725636,3735.3672394638365,0.1111111111111111,0.02673983848292062,-180.3772902772929,-3028.039072918922,-1825.6209354936204,1,0
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_REVERSE_H10_TQ0p95_SPQ0p5_CQ0p5,avg_depth_beyond_l1_qty_imbalance,1,1,reverse,10,0.95,0.5792902730551526,0.5,2.6725913756795983,0.5,29584.5,8,1,13,-1967.9196112132674,-673.3631177615273,1294.55649345174,0.07692307692307693,0.01026623771182673,-151.3784316317898,-1919.2466540794774,13,-2615.197857939137,-673.3631177615273,1941.8347401776095,0.0,0.0,-201.16906599531825,-2498.1392418493774,13,-3262.476104665007,-673.3631177615273,2589.11298690348,0.0,0.0,-250.95970035884667,-3097.4445216949453,-1108.258997292735,0,0
P256_AVG_DEPTH_SLOPE_ASK_REVERSE_H6_TQ0p95_SPQ0p5_CQ0p5,avg_depth_slope_ask,1,1,reverse,6,0.95,1228.4406250000002,0.5,2.6725913756795983,0.5,29584.5,7,1,20,-1291.0708486973508,718.2558004395155,2009.3266491368668,0.2,0.13960018397213245,-64.55354243486754,-1286.3385309801424,20,-2295.734173265784,718.2558004395155,3013.9899737053,0.1,0.03877467032399629,-114.7867086632892,-2172.941445913445,20,-3300.3974978342167,718.2558004395155,4018.6532982737335,0.05,0.002932590689267391,-165.01987489171083,-3071.0607524674465,-1890.3241482044696,1,0
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_FOLLOW_H10_TQ0p9_SPQ0p5_CQ0p75,avg_depth_beyond_l1_qty_imbalance,1,1,follow,10,0.9,0.4628532906704733,0.5,2.6725913756795983,0.75,80028.5,9,1,26,-660.3761468166372,1991.0368221922272,2651.4129690088644,0.34615384615384615,0.638337877258586,-25.39908256987066,-746.7834877631703,26,-1986.0826313210691,1991.0368221922272,3977.119453513296,0.2692307692307692,0.27277547925560236,-76.38779351234881,-1877.7186953239147,26,-3311.7891158255015,1991.0368221922272,5302.825938017729,0.15384615384615385,0.13225117861513463,-127.37650445482699,-3150.7980628215987,-2208.059375175313,1,0
P256_AVG_DEPTH_SLOPE_ASK_REVERSE_H6_TQ0p95_SPQ0p5_CQ0p0,avg_depth_slope_ask,1,1,reverse,6,0.95,1228.4406250000002,0.5,2.6725913756795983,0.0,536.0,7,1,21,-1234.596260479219,870.6645208689022,2105.2607813481213,0.23809523809523808,0.1772361706897915,-58.79029811805805,-1229.8639427620105,21,-2287.2266511532794,870.6645208689022,3157.891172022182,0.14285714285714285,0.04233677513671727,-108.91555481682283,-2164.43392380094,21,-3339.8570418273393,870.6645208689022,4210.521562696243,0.047619047619047616,0.0028980433023302805,-159.0408115155876,-3110.520296460569,-2138.667000845111,1,0
P256_AVG_LEVEL_WEIGHTED_DEPTH_IMBALANCE_FOLLOW_H10_TQ0p95_SPQ0p5_CQ0p5,avg_level_weighted_depth_imbalance,1,1,follow,10,0.95,0.6029320854321769,0.5,2.6725913756795983,0.5,29584.5,9,1,20,-1346.5645545866225,677.4038146621365,2023.968369248759,0.15,0.27439734474789534,-67.32822772933113,-1496.3689129942745,20,-2358.5487392110026,677.4038146621365,3035.952553873139,0.15,0.12954911560518517,-117.92743696055012,-2248.129458635976,20,-3370.532923835382,677.4038146621365,4047.936738497518,0.05,0.07346244002650391,-168.5266461917691,-3151.7807717630317,-3018.9865122044093,1,0
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_FOLLOW_H6_TQ0p95_SPQ0p75_CQ0p75,avg_depth_beyond_l1_qty_imbalance,1,1,follow,6,0.95,0.5792902730551526,0.75,3.4284694119258963,0.75,80028.5,5,1,16,-1679.0422867153786,15.655452201113192,1694.6977389164917,0.0625,0.0058455072436988395,-104.94014291971116,-1609.7024771160072,16,-2526.3911561736245,15.655452201113192,2542.046608374738,0.0,0.0,-157.89944726085153,-2403.080796461686,16,-3373.74002563187,15.655452201113192,3389.3954778329835,0.0,0.0,-210.85875160199188,-3196.4591158073654,-1798.39404202908,1,0
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_REVERSE_H6_TQ0p95_SPQ0p75_CQ0p75,avg_depth_beyond_l1_qty_imbalance,1,1,reverse,6,0.95,0.5792902730551526,0.75,3.4284694119258963,0.75,80028.5,5,1,16,-1710.3531911176049,-15.655452201113192,1694.6977389164917,0.1875,0.11156984049223403,-106.8970744448503,-1563.81080026671,16,-2557.7020605758507,-15.655452201113192,2542.046608374738,0.125,0.032026306613441385,-159.85637878599067,-2357.1891196123897,16,-3405.0509300340964,-15.655452201113192,3389.3954778329835,0.0625,0.0011668001722948261,-212.81568312713102,-3150.5674389580686,-1798.39404202908,1,0
P256_DEPTH_WITHDRAWAL_PRESSURE_REVERSE_H10_TQ0p95_SPQ0p5_CQ0p0,depth_withdrawal_pressure,1,1,reverse,10,0.95,31101.25,0.5,2.6725913756795983,0.0,536.0,5,1,20,-1456.3744186570596,554.3704162569107,2010.7448349139706,0.2,0.1474436735060372,-72.81872093285298,-1477.2343759368846,20,-2461.746836114045,554.3704162569107,3016.1172523709556,0.1,0.03856972866531796,-123.08734180570225,-2374.71934227362,20,-3467.1192535710297,554.3704162569107,4021.4896698279413,0.05,0.0012590903448128422,-173.3559626785515,-3280.6076003360095,-1958.117292073548,1,0
P256_DEPTH_WITHDRAWAL_PRESSURE_REVERSE_H10_TQ0p95_SPQ0p5_CQ0p5,depth_withdrawal_pressure,1,1,reverse,10,0.95,31101.25,0.5,2.6725913756795983,0.5,29584.5,5,1,20,-1456.3744186570596,554.3704162569107,2010.7448349139706,0.2,0.1474436735060372,-72.81872093285298,-1477.2343759368846,20,-2461.746836114045,554.3704162569107,3016.1172523709556,0.1,0.03856972866531796,-123.08734180570225,-2374.71934227362,20,-3467.1192535710297,554.3704162569107,4021.4896698279413,0.05,0.0012590903448128422,-173.3559626785515,-3280.6076003360095,-1958.117292073548,1,0
P256_DEPTH_WITHDRAWAL_PRESSURE_REVERSE_H10_TQ0p95_SPQ0p5_CQ0p75,depth_withdrawal_pressure,1,1,reverse,10,0.95,31101.25,0.5,2.6725913756795983,0.75,80028.5,5,1,20,-1456.3744186570596,554.3704162569107,2010.7448349139706,0.2,0.1474436735060372,-72.81872093285298,-1477.2343759368846,20,-2461.746836114045,554.3704162569107,3016.1172523709556,0.1,0.03856972866531796,-123.08734180570225,-2374.71934227362,20,-3467.1192535710297,554.3704162569107,4021.4896698279413,0.05,0.0012590903448128422,-173.3559626785515,-3280.6076003360095,-1958.117292073548,1,0
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_REVERSE_H6_TQ0p95_SPQ0p5_CQ0p5,avg_depth_beyond_l1_qty_imbalance,1,1,reverse,6,0.95,0.5792902730551526,0.5,2.6725913756795983,0.5,29584.5,9,1,18,-1691.737142910399,99.31617590441806,1791.0533188148174,0.2222222222222222,0.16881480308345717,-93.98539682835549,-1776.2881022945264,18,-2587.263802317808,99.31617590441806,2686.5799782222257,0.16666666666666666,0.05939063070404453,-143.7368779065449,-2532.154929052051,18,-3482.7904617252166,99.31617590441806,3582.106637629635,0.1111111111111111,0.009286505868628161,-193.48835898473425,-3329.639668240079,-1646.236561291992,0,0
P256_AVG_LEVEL_WEIGHTED_DEPTH_IMBALANCE_FOLLOW_H10_TQ0p95_SPQ0p75_CQ0p75,avg_level_weighted_depth_imbalance,1,1,follow,10,0.95,0.6029320854321769,0.75,3.4284694119258963,0.75,80028.5,5,1,17,-1735.9723473365323,53.30310607913893,1789.275453415671,0.058823529411764705,0.03530360178857787,-102.11602043156073,-1680.2355283461268,17,-2630.6100740443676,53.30310607913893,2683.9131801235067,0.058823529411764705,0.004770828212495133,-154.7417690614334,-2522.2461380472137,17,-3525.2478007522036,53.30310607913893,3578.550906831342,0.0,0.0,-207.3675176913061,-3364.256747748301,-2308.8843756346328,1,0
P256_AVG_LEVEL_WEIGHTED_DEPTH_IMBALANCE_REVERSE_H10_TQ0p95_SPQ0p75_CQ0p75,avg_level_weighted_depth_imbalance,1,1,reverse,10,0.95,0.6029320854321769,0.75,3.4284694119258963,0.75,80028.5,5,1,17,-1842.57855949481,-53.30310607913893,1789.275453415671,0.11764705882352941,0.036141613374495514,-108.38697408793,-1708.2196025338878,17,-2737.216286202646,-53.30310607913893,2683.9131801235067,0.0,0.0,-161.01272271780272,-2529.8175201593067,17,-3631.854012910481,-53.30310607913893,3578.550906831342,0.0,0.0,-213.63847134767533,-3371.8281298603933,-2308.8843756346328,1,0
P256_AVG_LEVEL_WEIGHTED_DEPTH_IMBALANCE_FOLLOW_H10_TQ0p9_SPQ0p5_CQ0p75,avg_level_weighted_depth_imbalance,1,1,follow,10,0.9,0.4923259942989653,0.5,2.6725913756795983,0.75,80028.5,8,1,25,-1115.953427137549,1430.1043211745634,2546.0577483121124,0.24,0.41727561756370396,-44.63813708550196,-1270.355994668051,25,-2388.982301293605,1430.1043211745634,3819.0866224681686,0.2,0.1740799291474412,-95.5592920517442,-2280.6183652964505,25,-3662.011175449661,1430.1043211745634,5092.115496624225,0.08,0.09253791139599005,-146.48044701798645,-3501.020122445758,-2631.2705808502405,1,0
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_FOLLOW_H6_TQ0p95_SPQ0p5_CQ0p5,avg_depth_beyond_l1_qty_imbalance,1,1,follow,6,0.95,0.5792902730551526,0.5,2.6725913756795983,0.5,29584.5,9,1,18,-1890.3694947192357,-99.31617590441806,1791.0533188148174,0.16666666666666666,0.09001778520461441,-105.02052748440198,-1784.350954251942,18,-2785.896154126644,-99.31617590441806,2686.5799782222257,0.1111111111111111,0.027264966117923606,-154.77200856259134,-2631.9046467790495,18,-3681.4228135340527,-99.31617590441806,3582.106637629635,0.05555555555555555,0.00034673021806908374,-204.5234896407807,-3479.4583393061557,-1646.236561291992,0,0
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_REVERSE_H3_TQ0p95_SPQ0p5_CQ0p5,avg_depth_beyond_l1_qty_imbalance,1,1,reverse,3,0.95,0.5792902730551526,0.5,2.6725913756795983,0.5,29584.5,9,1,19,-1809.5411366109313,87.93977468274376,1897.480911293675,0.21052631578947367,0.05995252305433679,-95.23900719004901,-1732.901032371472,19,-2758.2815922577684,87.93977468274376,2846.221366940512,0.0,0.0,-145.1727153819878,-2633.668521138008,19,-3707.022047904606,87.93977468274376,3794.96182258735,0.0,0.0,-195.10642357392663,-3534.4360099045443,-2112.295281561066,1,0
P256_AVG_DEPTH_BEYOND_L1_QTY_IMBALANCE_FOLLOW_H3_TQ0p95_SPQ0p75_CQ0p75,avg_depth_beyond_l1_qty_imbalance,1,1,follow,3,0.95,0.5792902730551526,0.75,3.4284694119258963,0.75,80028.5,7,1,18,-1866.8057257461637,50.1492015364535,1916.9549272826173,0.05555555555555555,0.010126231734831839,-103.71142920812021,-1776.4869538501891,18,-2825.2831893874727,50.1492015364535,2875.4323909239256,0.0,0.0,-156.96017718819292,-2680.993867378932,18,-3783.760653028781,50.1492015364535,3833.9098545652346,0.0,0.0,-210.2089251682656,-3585.5007809076737,-1830.6417660865673,0,0
P256_AVG_LEVEL_WEIGHTED_DEPTH_IMBALANCE_FOLLOW_H3_TQ0p95_SPQ0p5_CQ0p75,avg_level_weighted_depth_imbalance,1,1,follow,3,0.95,0.6029320854321769,0.5,2.6725913756795983,0.75,80028.5,5,1,17,-2074.6050165341285,-331.91489004903434,1742.6901264850944,0.058823529411764705,0.014287382609574828,-122.03558920788991,-1969.3507825206307,17,-2945.950079776676,-331.91489004903434,2614.0351897276414,0.0,0.0,-173.29118116333387,-2788.0687287564297,17,-3817.2951430192225,-331.91489004903434,3485.380252970189,0.0,0.0,-224.5467731187778,-3606.7866749922273,-1694.12840620419,0,0
