artifact_id,required_field,value_source,normalized_value_present
phase3,random_seed,source_manifest_exact_or_alias,True
phase3,calibration_dataset_id,source_manifest_exact_or_alias,True
phase3,ticker_metadata_version,source_manifest_exact_or_alias,True
phase3,regime_calendar_version,source_manifest_exact_or_alias,True
phase3,scenario_ids,source_manifest_exact_or_alias,True
phase3,cost_model_version,source_manifest_exact_or_alias,True
phase3,latency_model_version,source_manifest_exact_or_alias,True
phase3,creation_timestamp,source_manifest_exact_or_alias,True
phase4,generator_version,source_manifest_exact_or_alias,True
phase4,configuration_hash,source_manifest_exact_or_alias,True
phase4,random_seed,source_manifest_exact_or_alias,True
phase4,calibration_dataset_id,source_manifest_exact_or_alias,True
phase4,ticker_metadata_version,source_manifest_exact_or_alias,True
phase4,regime_calendar_version,source_manifest_exact_or_alias,True
phase4,scenario_ids,source_manifest_exact_or_alias,True
phase4,cost_model_version,source_manifest_exact_or_alias,True
phase4,latency_model_version,source_manifest_exact_or_alias,True
phase4,creation_timestamp,source_manifest_exact_or_alias,True
phase5,generator_version,source_manifest_exact_or_alias,True
phase5,configuration_hash,source_manifest_exact_or_alias,True
phase5,random_seed,source_manifest_exact_or_alias,True
phase5,calibration_dataset_id,source_manifest_exact_or_alias,True
phase5,ticker_metadata_version,source_manifest_exact_or_alias,True
phase5,regime_calendar_version,source_manifest_exact_or_alias,True
phase5,scenario_ids,source_manifest_exact_or_alias,True
phase5,cost_model_version,source_manifest_exact_or_alias,True
phase5,latency_model_version,source_manifest_exact_or_alias,True
phase5,creation_timestamp,source_manifest_exact_or_alias,True
phase6,generator_version,source_manifest_exact_or_alias,True
phase6,configuration_hash,source_manifest_exact_or_alias,True
phase6,random_seed,source_manifest_exact_or_alias,True
phase6,calibration_dataset_id,source_manifest_exact_or_alias,True
phase6,ticker_metadata_version,source_manifest_exact_or_alias,True
phase6,regime_calendar_version,source_manifest_exact_or_alias,True
phase6,scenario_ids,source_manifest_exact_or_alias,True
phase6,cost_model_version,source_manifest_exact_or_alias,True
phase6,latency_model_version,source_manifest_exact_or_alias,True
phase6,creation_timestamp,source_manifest_exact_or_alias,True
phase7,generator_version,source_manifest_exact_or_alias,True
phase7,configuration_hash,source_manifest_exact_or_alias,True
phase7,random_seed,source_manifest_exact_or_alias,True
phase7,calibration_dataset_id,source_manifest_exact_or_alias,True
phase7,ticker_metadata_version,source_manifest_exact_or_alias,True
phase7,regime_calendar_version,source_manifest_exact_or_alias,True
phase7,scenario_ids,source_manifest_exact_or_alias,True
