trade_date,exchange,symbol,parquet_files,bytes,first_file,last_file
2026-07-09,NSE,ITBEES,894,30876542,trade_date=2026-07-09/exchange=NSE/symbol=ITBEES/part-062605_682267-000016.parquet,trade_date=2026-07-09/exchange=NSE/symbol=ITBEES/part-100126_622573-028538.parquet
2026-07-09,NSE,ITC,892,31350471,trade_date=2026-07-09/exchange=NSE/symbol=ITC/part-062605_817390-000017.parquet,trade_date=2026-07-09/exchange=NSE/symbol=ITC/part-100126_745885-028539.parquet
2026-07-09,NSE,JUNIORBEES,894,31522415,trade_date=2026-07-09/exchange=NSE/symbol=JUNIORBEES/part-062605_956663-000018.parquet,trade_date=2026-07-09/exchange=NSE/symbol=JUNIORBEES/part-100126_870322-028540.parquet
2026-07-09,NSE,KOTAKBANK,892,31989996,trade_date=2026-07-09/exchange=NSE/symbol=KOTAKBANK/part-062606_134313-000019.parquet,trade_date=2026-07-09/exchange=NSE/symbol=KOTAKBANK/part-100126_991948-028541.parquet
2026-07-09,NSE,LT,892,31871986,trade_date=2026-07-09/exchange=NSE/symbol=LT/part-062606_274994-000020.parquet,trade_date=2026-07-09/exchange=NSE/symbol=LT/part-100127_126341-028542.parquet
2026-07-09,NSE,M&M,892,31547955,trade_date=2026-07-09/exchange=NSE/symbol=M&M/part-062606_408397-000021.parquet,trade_date=2026-07-09/exchange=NSE/symbol=M&M/part-100127_275178-028543.parquet
2026-07-09,NSE,MARUTI,892,31365200,trade_date=2026-07-09/exchange=NSE/symbol=MARUTI/part-062606_541546-000022.parquet,trade_date=2026-07-09/exchange=NSE/symbol=MARUTI/part-100127_396080-028544.parquet
2026-07-09,NSE,NESTLEIND,892,30965113,trade_date=2026-07-09/exchange=NSE/symbol=NESTLEIND/part-062606_708199-000023.parquet,trade_date=2026-07-09/exchange=NSE/symbol=NESTLEIND/part-100127_534944-028545.parquet
2026-07-09,NSE,NIFTYBEES,894,31464910,trade_date=2026-07-09/exchange=NSE/symbol=NIFTYBEES/part-062606_871561-000024.parquet,trade_date=2026-07-09/exchange=NSE/symbol=NIFTYBEES/part-100127_659215-028546.parquet
2026-07-09,NSE,ONGC,892,31134590,trade_date=2026-07-09/exchange=NSE/symbol=ONGC/part-062607_032914-000025.parquet,trade_date=2026-07-09/exchange=NSE/symbol=ONGC/part-100127_783397-028547.parquet
2026-07-09,NSE,RELIANCE,893,32081703,trade_date=2026-07-09/exchange=NSE/symbol=RELIANCE/part-062607_166803-000026.parquet,trade_date=2026-07-09/exchange=NSE/symbol=RELIANCE/part-100127_926700-028548.parquet
2026-07-09,NSE,SBIN,893,31749737,trade_date=2026-07-09/exchange=NSE/symbol=SBIN/part-062607_297281-000027.parquet,trade_date=2026-07-09/exchange=NSE/symbol=SBIN/part-100128_058790-028549.parquet
2026-07-09,NSE,SUNPHARMA,892,31516068,trade_date=2026-07-09/exchange=NSE/symbol=SUNPHARMA/part-062607_430516-000028.parquet,trade_date=2026-07-09/exchange=NSE/symbol=SUNPHARMA/part-100128_181143-028550.parquet
2026-07-09,NSE,TCS,892,31735785,trade_date=2026-07-09/exchange=NSE/symbol=TCS/part-062607_576207-000029.parquet,trade_date=2026-07-09/exchange=NSE/symbol=TCS/part-100128_305657-028551.parquet
2026-07-09,NSE,TECHM,893,31017941,trade_date=2026-07-09/exchange=NSE/symbol=TECHM/part-062607_717273-000030.parquet,trade_date=2026-07-09/exchange=NSE/symbol=TECHM/part-100128_428176-028552.parquet
2026-07-09,NSE,ULTRACEMCO,893,30888286,trade_date=2026-07-09/exchange=NSE/symbol=ULTRACEMCO/part-062607_847509-000031.parquet,trade_date=2026-07-09/exchange=NSE/symbol=ULTRACEMCO/part-100128_554751-028553.parquet
2026-07-09,NSE,WIPRO,893,31225283,trade_date=2026-07-09/exchange=NSE/symbol=WIPRO/part-062607_986353-000032.parquet,trade_date=2026-07-09/exchange=NSE/symbol=WIPRO/part-100128_686429-028554.parquet
2026-07-13,NSE,ADANIPORTS,1569,54744007,trade_date=2026-07-13/exchange=NSE/symbol=ADANIPORTS/part-034501_461115-000006.parquet,trade_date=2026-07-13/exchange=NSE/symbol=ADANIPORTS/part-100140_980924-050206.parquet
