canonical_work_order_id,panel,symbol,announcement_time_ist,market_session,diagnostic_trade_date,diagnostic_start_rule,description,decision_delay_seconds,horizon_seconds,status,start_ms,start_tick_ms,decision_ms,exit_ms,forced_exit,start_mid,decision_mid,exit_mid,impulse_bps,impulse_side_sign,start_top5_qty,decision_top5_qty,replenishment_ratio,decision_top5_qty_imbalance,decision_l2_l5_qty_imbalance,decision_top5_order_imbalance,entry_long_price,exit_long_price,entry_short_price,exit_short_price,scenario_id,scenario_role,side_sign,side,quantity,buy_value_inr,sell_value_inr,gross_pnl_inr,cost200_inr,net_pnl_inr,cost_model_version,capacity_selected
P373_2026-07-23_DRREDDY_106706646,unseen_phase359,DRREDDY,22-Jul-2026 16:44:07,post_close,2026-07-23,market_open_next_available_unseen_real_l2_day,General Updates,120,900.0,ready,1784778300000.0,1784778300479.0,1784778420728.0,1784779320976.0,0.0,1101.9,1143.4,1149.25,376.6221980215991,1.0,11182.0,2309.0,-0.7935074226435342,0.530532698137722,0.6076467910787438,-0.2903225806451613,1143.5,1149.0,1143.3,1149.5,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,87,99484.5,99963.0,478.5,165.29013637000003,313.20986363,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,0
P373_2026-07-23_DRREDDY_106706656,unseen_phase359,DRREDDY,22-Jul-2026 16:48:23,post_close,2026-07-23,market_open_next_available_unseen_real_l2_day,Investor Presentation,120,900.0,ready,1784778300000.0,1784778300479.0,1784778420728.0,1784779320976.0,0.0,1101.9,1143.4,1149.25,376.6221980215991,1.0,11182.0,2309.0,-0.7935074226435342,0.530532698137722,0.6076467910787438,-0.2903225806451613,1143.5,1149.0,1143.3,1149.5,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,87,99484.5,99963.0,478.5,165.29013637000003,313.20986363,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,0
P373_2026-07-23_DRREDDY_106707432,unseen_phase359,DRREDDY,23-Jul-2026 08:09:46,pre_open_or_overnight,2026-07-23,market_open_same_day,Press Release,120,900.0,ready,1784778300000.0,1784778300479.0,1784778420728.0,1784779320976.0,0.0,1101.9,1143.4,1149.25,376.6221980215991,1.0,11182.0,2309.0,-0.7935074226435342,0.530532698137722,0.6076467910787438,-0.2903225806451613,1143.5,1149.0,1143.3,1149.5,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,87,99484.5,99963.0,478.5,165.29013637000003,313.20986363,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,0
P373_2026-07-23_RELIANCE_106706565,unseen_phase359,RELIANCE,22-Jul-2026 16:09:43,post_close,2026-07-23,market_open_next_available_unseen_real_l2_day,Copy of Newspaper Publication,120,900.0,ready,1784778300000.0,1784778300479.0,1784778422479.0,1784779327883.0,0.0,1283.5,1281.6,1280.95,-14.803272302299112,-1.0,7874.0,5724.0,-0.2730505461010922,-0.2477288609364081,-0.362824990298797,-0.0204081632653061,1281.7,1280.9,1281.5,1281.0,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,-1.0,short,78,99918.0,99957.0,39.0,165.3481285,-126.3481285,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,0
P373_2026-07-23_M&M_106706794,unseen_phase359,M&M,22-Jul-2026 17:48:35,post_close,2026-07-23,market_open_next_available_unseen_real_l2_day,Updates,120,900.0,ready,1784778300000.0,1784778305123.0,1784778425233.0,1784779327883.0,0.0,3157.75,3180.5,3181.1,72.04496872773336,1.0,642.0,429.0,-0.3317757009345794,0.5104895104895105,0.3819444444444444,0.2222222222222222,3181.0,3180.7,3180.0,3181.5,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,31,98611.0,98601.7,-9.300000000005639,165.0705365124,-174.37053651240564,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,0
P373_2026-07-23_CIPLA_106707778,unseen_phase359,CIPLA,23-Jul-2026 12:39:45,regular_session,2026-07-23,first_real_tick_after_announcement,Investor Presentation,120,900.0,ready,1784790585000.0,1784790588841.0,1784790709482.0,1784791610724.0,0.0,1380.4499999999998,1385.3000000000002,1388.75,35.133470969613995,1.0,952.0,1011.0,0.0619747899159663,0.5865479723046488,0.5357142857142857,0.3333333333333333,1385.4,1388.7,1385.2,1388.8,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,72,99748.8,99986.40000000001,237.59999999999673,165.3275177824,72.27248221759672,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,0
P373_2026-07-23_CIPLA_106707879,unseen_phase359,CIPLA,23-Jul-2026 13:17:47,regular_session,2026-07-23,first_real_tick_after_announcement,Change in Management,120,900.0,ready,1784792867000.0,1784792871386.0,1784792991974.0,1784793892483.0,0.0,1368.5,1369.45,1374.55,6.9419071976620055,1.0,1048.0,785.0,-0.2509541984732824,0.3579617834394904,0.330567081604426,0.1515151515151515,1369.7,1374.5,1369.2,1374.6,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,73,99988.1,100338.5,350.3999999999967,165.38611959920001,185.01388040079667,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,0
P373_2026-07-24_SUNPHARMA_106709050,unseen_phase359,SUNPHARMA,24-Jul-2026 08:50:46,pre_open_or_overnight,2026-07-24,market_open_same_day,Press Release,120,900.0,ready,1784864700000.0,1784864705394.0,1784864825690.0,1784865726188.0,0.0,1945.45,1951.45,1954.35,30.84119355418938,1.0,2089.0,830.0,-0.6026807084729535,0.4313253012048192,0.3774104683195592,-0.0833333333333333,1951.6,1954.0,1951.3,1954.7,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,51,99531.59999999999,99654.0,122.40000000000464,165.27336910719998,-42.873369107195344,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,1
P373_2026-07-24_BPCL_106708242,unseen_phase359,BPCL,23-Jul-2026 16:59:09,post_close,2026-07-24,market_open_next_available_unseen_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,120,900.0,ready,1784864700000.0,1784864705394.0,1784864827692.0,1784865729189.0,0.0,306.875,306.32500000000005,306.275,-17.922606924642103,-1.0,5990.0,8710.0,0.4540901502504174,-0.2548794489092996,-0.4035367637282276,-0.2093023255813953,306.35,306.25,306.3,306.3,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,-1.0,short,326,99853.8,99853.8,-0.0,165.3317529712,-165.3317529712,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,1
P373_2026-07-24_ULTRACEMCO_106708557,unseen_phase359,ULTRACEMCO,23-Jul-2026 18:40:56,post_close,2026-07-24,market_open_next_available_unseen_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,120,900.0,ready,1784864700000.0,1784864705401.0,1784864831807.0,1784865736025.0,0.0,11745.5,11794.5,11751.0,41.71810480609595,1.0,331.0,186.0,-0.4380664652567976,0.2580645161290322,0.4013605442176871,0.2857142857142857,11797.0,11750.0,11792.0,11752.0,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,8,94376.0,94000.0,-376.0,162.155345312,-538.155345312,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,0
